	Marca	Vettura	Porte	Anno	Tipo Tetto	TettoVetro	KIT 	  Componibili  PIEDE  	TRAVERSE Acc 	Alu	Preassemblate E.O. SW Acc	Alu.1	Quick Acc	Alu.2	FREE LINE	Unnamed: 16	INITIAL	EASY ONE	EVO	Porta Bici Post.
195	Citroen	Evasion	5	1994-2002	Profili a T	SI	406.0	600	526	626	830.0	930.0								NO
196	Citroen	Nemo	3-5	2008-nan	Punti fissi	SI	102.0	500	526	626								7.0	7.0	AL-RT
197	Citroen	Nemo	3-5	2008-nan	Barre lungitudinali	SI		600	542	642	830.0	930.0			530.0		● ○			AL-RT
198	Citroen	Saxo	3	1996-2004	Tetto nudo													52.0	52.0	RT
199	Citroen	Saxo	5	1996-2005	Tetto nudo													25.0	25.0	RT
200	Citroen	Xantia	5	1993-1998	Tetto nudo													27.0	27.0	NO
201	Citroen	Xantia SW	5	1995-2001	Profili a T	SI	406.0	600	513	613	815.0	915.0								NO
202	Citroen	XM	5	1989-1994	Tetto nudo													26.0		NO
203	Citroen	XM SW	5	1992-1999	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
204	Citroen	Xsara	5	1997-2004	Tetto nudo													21.0	21.0	SI
205	Citroen	Xsara Picasso	5	1999-2010	Tetto nudo	NO	209.0	500	507	607								22.0	22.0	SI
206	Citroen	Xsara SW	5	1997-2004	Profili a T	SI	406.0	600	526	626	830.0	930.0								NO
207	Citroen	ZX SW	5	1994-1999	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
208	Cupra	 Cupra		nan-nan																
209	Cupra	Formentor	5	2020-nan	Barre lungitudinali	SI		600	513	613	815.0	915.0			515.0		● ○			NV
210	Dacia	 Dacia		nan-nan																
211	Dacia	Dokker	3-5	2012-nan	Punti fissi	SI	102.0	500	507	607								6.0	6.0	NO
212	Dacia	Dokker	3-5	2012-nan	Barre lungitudinali	SI		600	513	613	815.0	915.0			515.0		● ○			NO
213	Dacia	Duster	5	2010-2013	Barre lungitudinali	SI	412.0	600	520	620	815.0	915.0			515.0					2B
214	Dacia	Duster	5	2014-2017	Barre lungitudinali	SI	652.0	601	507	607			857.0	957.0		715				2B
215	Dacia	Duster	5	2018-nan	Barre lungitudinali	SI	655.0	601	507	607			857.0	957.0	515.0					NV
216	Dacia	Lodgy	5	2012-nan	Profili integrati	SI	651.0	601	507	607			857.0	957.0		715				RT
217	Dacia	Logan	4	2004-nan	Punti fissi	SI	353.0	500	513	613								53.0		SI
218	Dacia	Logan MCV	5	2013-nan	Barre lungitudinali	SI		600	513	613	815.0	915.0			515.0		● ○			NV
219	Dacia	Logan SW	5	2007-2013	Barre lungitudinali	SI		600	507	607	815.0	915.0			515.0		● ○			NO
220	Dacia	Logan SW	5	2013-nan	Barre lungitudinali	SI		600	513	613	815.0	915.0					● ○			NV
221	Dacia	Sandero I	5	2008-2020	Punti fissi	NV	353.0	500	507	607								53.0		AL-RT
222	Dacia	Sandero II	5	2021-nan	Tetto nudo	NV	377.0	500	520	620									80.0	NV
